"	O
Curiouser	B-QUOTE
and	I-QUOTE
curiouser	I-QUOTE
!	I-QUOTE

"	O
cried	O
Alice	O
(	O
she	O
was	O
so	O
much	O
surprised	O
,	O
that	O
for	O
the	O
moment	O
she	O
quite	O
forgot	O
how	O
to	O
speak	O
good	O
English	O
)	O
;	O
"	O
now	B-QUOTE
I	I-QUOTE
'm	I-QUOTE
opening	I-QUOTE
out	I-QUOTE
like	I-QUOTE
the	I-QUOTE
largest	I-QUOTE
telescope	I-QUOTE
that	I-QUOTE
ever	I-QUOTE
was	I-QUOTE
!	I-QUOTE

Good-bye	I-QUOTE
,	I-QUOTE
feet	I-QUOTE
!	I-QUOTE

"	O
(	O
for	O
when	O
she	O
looked	O
down	O
at	O
her	O
feet	O
,	O
they	O
seemed	O
to	O
be	O
almost	O
out	O
of	O
sight	O
,	O
they	O
were	O
getting	O
so	O
far	O
off	O
)	O
.	O

"	O
Oh	B-QUOTE
,	I-QUOTE
my	I-QUOTE
poor	I-QUOTE
little	I-QUOTE
feet	I-QUOTE
,	I-QUOTE
I	I-QUOTE
wonder	I-QUOTE
who	I-QUOTE
will	I-QUOTE
put	I-QUOTE
on	I-QUOTE
your	I-QUOTE
shoes	I-QUOTE
and	I-QUOTE
stockings	I-QUOTE
for	I-QUOTE
you	I-QUOTE
now	I-QUOTE
,	I-QUOTE
dears	I-QUOTE
?	I-QUOTE

I	I-QUOTE
'm	I-QUOTE
sure	I-QUOTE
_I_	I-QUOTE
sha	I-QUOTE
n't	I-QUOTE
be	I-QUOTE
able	I-QUOTE
!	I-QUOTE

I	I-QUOTE
shall	I-QUOTE
be	I-QUOTE
a	I-QUOTE
great	I-QUOTE
deal	I-QUOTE
too	I-QUOTE
far	I-QUOTE
off	I-QUOTE
to	I-QUOTE
trouble	I-QUOTE
myself	I-QUOTE
about	I-QUOTE
you	I-QUOTE
:	I-QUOTE
you	I-QUOTE
must	I-QUOTE
manage	I-QUOTE
the	I-QUOTE
best	I-QUOTE
way	I-QUOTE
you	I-QUOTE
can	I-QUOTE
;	I-QUOTE
--	I-QUOTE
but	I-QUOTE
I	I-QUOTE
must	I-QUOTE
be	I-QUOTE
kind	I-QUOTE
to	I-QUOTE
them	I-QUOTE
,	I-QUOTE
"	O
thought	O
Alice	O
,	O
"	O
or	B-QUOTE
perhaps	I-QUOTE
they	I-QUOTE
wo	I-QUOTE
n't	I-QUOTE
walk	I-QUOTE
the	I-QUOTE
way	I-QUOTE
I	I-QUOTE
want	I-QUOTE
to	I-QUOTE
go	I-QUOTE
!	I-QUOTE

Let	I-QUOTE
me	I-QUOTE
see	I-QUOTE
:	I-QUOTE
I	I-QUOTE
'll	I-QUOTE
give	I-QUOTE
them	I-QUOTE
a	I-QUOTE
new	I-QUOTE
pair	I-QUOTE
of	I-QUOTE
boots	I-QUOTE
every	I-QUOTE
Christmas.	I-QUOTE

"	O
And	O
she	O
went	O
on	O
planning	O
to	O
herself	O
how	O
she	O
would	O
manage	O
it.	O

"	O
They	B-QUOTE
must	I-QUOTE
go	I-QUOTE
by	I-QUOTE
the	I-QUOTE
carrier	I-QUOTE
,	I-QUOTE
"	O
she	O
thought	O
;	O
"	O
and	B-QUOTE
how	I-QUOTE
funny	I-QUOTE
it	I-QUOTE
'll	I-QUOTE
seem	I-QUOTE
,	I-QUOTE
sending	I-QUOTE
presents	I-QUOTE
to	I-QUOTE
one	I-QUOTE
's	I-QUOTE
own	I-QUOTE
feet	I-QUOTE
!	I-QUOTE

And	I-QUOTE
how	I-QUOTE
odd	I-QUOTE
the	I-QUOTE
directions	I-QUOTE
will	I-QUOTE
look	I-QUOTE
!	I-QUOTE

_Alice	I-QUOTE
's	I-QUOTE
Right	I-QUOTE
Foot	I-QUOTE
,	I-QUOTE
Esq.	I-QUOTE

,	I-QUOTE
Hearthrug	I-QUOTE
,	I-QUOTE
near	I-QUOTE
the	I-QUOTE
Fender	I-QUOTE
,	I-QUOTE
_	I-QUOTE
(	I-QUOTE
_with	I-QUOTE
Alice	I-QUOTE
's	I-QUOTE
love_	I-QUOTE
)	I-QUOTE
.	I-QUOTE

Oh	I-QUOTE
dear	I-QUOTE
,	I-QUOTE
what	I-QUOTE
nonsense	I-QUOTE
I	I-QUOTE
'm	I-QUOTE
talking	I-QUOTE
!	I-QUOTE

"	O
Just	O
then	O
her	O
head	O
struck	O
against	O
the	O
roof	O
of	O
the	O
hall	O
:	O
in	O
fact	O
she	O
was	O
now	O
more	O
than	O
nine	O
feet	O
high	O
,	O
and	O
she	O
at	O
once	O
took	O
up	O
the	O
little	O
golden	O
key	O
and	O
hurried	O
off	O
to	O
the	O
garden	O
door.	O

Poor	O
Alice	O
!	O

It	O
was	O
as	O
much	O
as	O
she	O
could	O
do	O
,	O
lying	O
down	O
on	O
one	O
side	O
,	O
to	O
look	O
through	O
into	O
the	O
garden	O
with	O
one	O
eye	O
;	O
but	O
to	O
get	O
through	O
was	O
more	O
hopeless	O
than	O
ever	O
:	O
she	O
sat	O
down	O
and	O
began	O
to	O
cry	O
again.	O

"	O
You	B-QUOTE
ought	I-QUOTE
to	I-QUOTE
be	I-QUOTE
ashamed	I-QUOTE
of	I-QUOTE
yourself	I-QUOTE
,	I-QUOTE
"	O
said	O
Alice	O
,	O
"	O
a	B-QUOTE
great	I-QUOTE
girl	I-QUOTE
like	I-QUOTE
you	I-QUOTE
,	I-QUOTE
"	O
(	O
she	O
might	O
well	O
say	O
this	O
)	O
,	O
